Headline,Summary,Category,Date Published,Link to Article
The hype on hyaluronic acid,"A variety of beauty and skincare products now contain hyaluronic acid, a substance naturally found in the body that retains moisture. But what benefits do these products offer, and are they worth using?","Kristina Liu, MD, MHS","January 23, 2020",https://www.health.harvard.edu/blog/the-hype-on-hyaluronic-acid-2020012318653
What can you do to reduce the risk of birth defects?,"Women who are hoping to become pregnant want to do everything they can to ensure that their babies will be as healthy as possible, which means following recommendations to minimize the possibility of birth defects.","Huma Farid, MD","January 22, 2020",https://www.health.harvard.edu/blog/what-can-you-do-to-reduce-the-risk-of-birth-defects-2020012218703
Is your cell phone dangerous to your health?,Plenty of us use our phones in situations when we probably should be paying more attention. But how often does this behavior lead to actual injury? A data analysis offers some answers.,"Robert H. Shmerling, MD","January 21, 2020",https://www.health.harvard.edu/blog/is-your-cell-phone-dangerous-to-your-health-2020012118697
LDL cholesterol: How low can you (safely) go?,Lowering LDL cholesterol has been shown to lower risk of cardiovascular disease. Recent studies have suggested that more aggressive goals for LDL levels in people who already have CVD can decrease risk even further.,Heart Health,"January 20, 2020",https://www.health.harvard.edu/blog/ldl-cholesterol-how-low-can-you-safely-go-2020012018638
Menopause and insomnia: Could a low-GI diet help?,"Researchers examining dietary data from over 50,000 postmenopausal women found that women who ate foods with a higher glycemic index, and foods with more added sugars, were more likely to have insomnia.",Nutrition,"January 17, 2020",https://www.health.harvard.edu/blog/menopause-and-insomnia-could-a-low-gi-diet-help-2020011718710
Diabetic retinopathy: Understanding diabetes-related eye disease and vision loss,"Over seven million people have diabetic retinopathy, the most common form of vision loss in working-age adults with diabetes. It’s recommended that people with diabetes should work to keep blood pressure in the normal range and their A1c level below 7% to avoid complications such as diabetic retinopathy.","Leo Kim, MD, PhD","January 16, 2020",https://www.health.harvard.edu/blog/diabetic-retinopathy-understanding-diabetes-related-eye-disease-and-vision-loss-2020011618394
Coming clean: Your anesthesiologist needs to know about marijuana use before surgery,"Regular marijuana users who need surgery should disclose their use ahead of the procedure, because of its effects on the body and on the anesthesia medications required for sedation.","David Hepner, MD, MPH","February 3, 2020",https://www.health.harvard.edu/blog/coming-clean-your-anesthesiologist-needs-to-know-about-marijuana-use-before-surgery-2020011518642
What to do when your child swears,"Even young children can surprise a parent with salty language. Regardless of where they first heard it, use the occasion to help your child learn appropriate behavior in and outside the home.",Child & Teen Health,"January 14, 2020",https://www.health.harvard.edu/blog/what-to-do-when-your-child-swears-2020011418668
Are polypills and population-based treatment the next big things?,,Medications,"February 4, 2020",https://www.health.harvard.edu/blog/are-polypills-and-population-based-treatment-the-next-big-things-2020011318526
"Vaccines for women: Before conception, during pregnancy, and after a birth",,Women's Health,"January 15, 2020",https://www.health.harvard.edu/blog/vaccines-for-women-before-conception-during-pregnancy-and-after-a-birth-2020011018649
What are ultra-processed foods and are they bad for our health?,"Health advice tells us to eat less processed food, but what does that mean? Researchers compared diets with most of the calories from unprocessed foods and from ultra-processed foods, to see how the subjects were affected.","Katherine D. McManus, MS, RD, LDN","January 9, 2020",https://www.health.harvard.edu/blog/what-are-ultra-processed-foods-and-are-they-bad-for-our-health-2020010918605
Harvard Health Ad Watch: When marketing puts your health at risk,,"Robert H. Shmerling, MD","January 9, 2020",https://www.health.harvard.edu/blog/harvard-health-ad-watch-when-marketing-puts-your-health-at-risk-2020010818633
What parents need to know about a vegan diet,,Nutrition,"January 14, 2020",https://www.health.harvard.edu/blog/what-parents-need-to-know-about-a-vegan-diet-2020010718625
Vestibular migraine: Progress in the search for treatments,A sense of dizziness or spinning associated with migraine headache is called vestibular migraine. A small study found that a type of nerve stimulation treatment improved symptoms of vestibular migraine in study participants.,"William Renthal, MD, PhD","January 6, 2020",https://www.health.harvard.edu/blog/vestibular-migraine-progress-in-the-search-for-treatments-2020010618583
Why medical research keeps changing its mind,,Medical Research,"February 4, 2020",https://www.health.harvard.edu/blog/why-medical-research-keeps-changing-its-mind-2020010318576
Congenital heart disease and autism: A possible link?,A recent study confirms that people born with congenital heart disease have a significantly greater risk of being diagnosed with an autism spectrum disorder. The research highlights the need for autism screening in children with CHD as early as possible.,Child & Teen Health,"January 2, 2020",https://www.health.harvard.edu/blog/congenital-heart-disease-and-autism-a-possible-link-2020010218552
Getting sleep in the hospital,"There are many things about hospital routines that make it difficult for patients to sleep well. If you find yourself hospitalized, there are things you can do to improve the chances that you will get a better night’s sleep.","Melissa Bartick, MD","December 31, 2019",https://www.health.harvard.edu/blog/getting-sleep-in-the-hospital-2019123118571
An omnivore’s dilemma: How much red meat is too much?,,"Emily Gelsomin, MLA, RD, LDN","January 2, 2020",https://www.health.harvard.edu/blog/an-omnivores-dilemma-how-much-red-meat-is-too-much-2019123018519
Should you use probiotics for your vagina?,"Probiotics are being promoted as a way for women to improve vaginal health, but unlike with the gut and digestion, there is almost no evidence for any benefit.",Kelly Bilodeau,"December 27, 2019",https://www.health.harvard.edu/blog/should-you-use-probiotics-for-your-vagina-2019122718592
Eosinophilic esophagitis: A new food-related allergic condition on the rise?,"Eosinophilic esophagitis is an allergic inflammation of the esophagus that most typically develops as an allergic response to certain foods. The exact cause is unclear, but if left untreated it can lead to permanent scarring or narrowing of the esophagus.","John Garber, MD","December 26, 2019",https://www.health.harvard.edu/blog/eosinophilic-esophagitis-a-new-food-related-allergic-condition-on-the-rise-2019122618563
